,State,% Below Poverty Level,Est Pop,Incidents,Incidents Per 100k People,Region,Division,State Name,Gun Murder Rate per 100K (2010),Gun Ownership,Violent Crime,Murder and nonnegligent manslaughter (per 100K) 2013,Forcible rape (per 100K) 2013,Robbery (per 100K) 2013,Aggravated assault  (per 100K) 2013,Property Crime  (per 100K) 2013,Burglary  (per 100K) 2013,Larceny (per 100K) 2013,Motor Theft (per 100K) 2013
0,AL,16.66010733452594,4863300,63,1.2954166923693788,South,East South Central,Alabama,2.8,51.7,449.9,7.1,26.9,104.1,311.8,3502.2,984.7,2312.8,204.8
1,AK,9.646391533022237,741894,19,2.5610127592351466,West,Pacific,Alaska,2.7,57.8,603.2,4.1,79.7,86.1,433.2,2739.4,403.3,2128.0,208.1
2,AZ,15.978252134482535,6931071,143,2.063173209450603,West,Mountain,Arizona,3.6,31.1,428.9,5.5,34.7,112.7,276.0,3539.2,807.8,2439.1,292.3
3,AR,16.70627739063157,2988248,31,1.037397163823083,South,West South Central,Arkansas,3.2,55.3,469.1,5.9,42.3,78.7,342.3,3660.1,1081.3,2384.7,194.1
4,CA,14.077762055491593,39250017,463,1.179617323477847,West,Pacific,California,3.4,21.3,423.1,5.0,20.6,148.6,248.9,2758.7,646.1,1669.5,443.2
5,CO,10.806445936275221,5540545,90,1.6243889364674413,West,Mountain,Colorado,1.3,34.7,308.9,3.1,40.7,65.4,199.6,2684.7,504.2,1947.4,233.1
6,CT,9.482246651150358,3576452,10,0.2796067163770128,Northeast,New England,Connecticut,2.7,16.7,283.0,4.1,25.6,102.7,150.6,2140.0,409.7,1550.7,179.6
7,DE,11.365925645833006,952065,9,0.9453136077893841,South,South Atlantic,Delaware,4.2,25.5,547.4,6.2,26.5,162.7,352.0,3340.9,803.7,2380.6,156.6
8,FL,14.425813461473433,20612439,189,0.9169220585686148,South,South Atlantic,Florida,3.9,24.5,487.1,5.2,27.2,123.7,330.9,3276.7,794.9,2288.6,193.2
9,GA,15.547578258823084,10310371,90,0.8729074831545829,South,South Atlantic,Georgia,3.8,40.3,378.9,5.9,21.4,125.6,226.0,3410.6,874.9,2248.0,287.7
10,HI,9.069921606208222,1428557,11,0.7700077770785485,West,Pacific,Hawaii,0.5,6.7,239.2,2.1,20.5,74.7,141.9,3075.2,573.1,2243.2,258.9
11,ID,14.10726380455577,1683140,23,1.3664935774801859,West,Mountain,Idaho,0.8,55.3,207.9,1.8,30.0,15.2,160.9,1983.5,450.3,1447.7,85.5
12,IL,12.666508300291083,12801539,71,0.5546208155128848,Midwest,East North Central,Illinois,2.8,20.2,414.8,5.8,27.7,151.2,230.0,2578.7,552.2,1826.9,199.5
13,IN,13.660029552002676,6633053,57,0.8593327989388899,Midwest,East North Central,Indiana,2.2,39.1,345.7,4.7,25.5,100.9,214.6,3029.2,728.3,2092.0,209.0
14,IA,11.368832609764338,3134693,16,0.5104168095567891,Midwest,West North Central,Iowa,0.7,42.9,263.9,1.5,28.3,31.3,202.8,2271.8,556.1,1584.8,130.9
15,KS,11.782247998049042,2907289,33,1.1350780744535545,Midwest,West North Central,Kansas,2.2,42.1,354.6,2.9,36.5,52.0,263.2,3143.2,650.3,2258.0,234.9
16,KY,17.896431216410104,4436974,59,1.3297350852179886,South,East South Central,Kentucky,2.7,47.7,222.6,4.5,29.0,80.7,108.4,2552.9,675.4,1725.2,152.2
17,LA,19.612398663210918,4681666,62,1.3243148913228753,South,West South Central,Louisiana,7.7,44.1,496.9,10.8,25.2,119.0,342.0,3540.6,915.7,2453.7,171.3
18,ME,12.148069928252719,1331479,10,0.751044515159458,Northeast,New England,Maine,0.8,40.5,122.7,1.9,28.0,31.8,61.0,2509.9,561.3,1873.7,74.9
19,MD,9.43605087853346,6016447,42,0.6980864287510552,South,South Atlantic,Maryland,5.1,21.3,476.8,6.3,21.0,172.3,277.2,2753.5,573.2,1924.9,255.3
20,MA,10.079554841694073,6811779,25,0.3670113196567299,Northeast,New England,Massachusetts,1.8,12.6,405.5,1.8,24.7,98.6,280.4,2153.0,519.7,1494.4,138.9
21,MI,14.624215626038698,9928300,53,0.5338275434868004,Midwest,East North Central,Michigan,4.2,38.4,454.5,7.0,46.4,105.6,295.5,2530.5,664.4,1612.0,254.1
22,MN,9.660881109111093,5519952,39,0.7065278828511552,Midwest,West North Central,Minnesota,1.0,41.7,230.9,1.8,30.5,64.6,134.0,2568.3,471.8,1939.3,157.2
23,MS,20.168058229493102,2988726,36,1.2045266110041535,South,East South Central,Mississippi,4.0,55.3,260.8,7.4,27.5,76.5,149.4,2811.0,940.6,1725.6,144.8
24,MO,13.572197603807648,6093000,78,1.2801575578532742,Midwest,West North Central,Missouri,5.4,41.7,450.9,6.5,25.1,96.0,323.4,3314.4,705.2,2338.4,270.8
25,MT,13.010589724897365,1042520,16,1.5347427387484172,West,Mountain,Montana,1.2,57.7,272.2,2.7,37.7,19.0,212.8,2583.7,387.4,2028.3,168.0
